Neighborhood,theft_from_vehicle_counts
Central Business District,23777
West End,6680
Mount Pleasant,4121
Strathcona,3439
Fairview,3427
Kitsilano,3328
Grandview-Woodland,3169
Renfrew-Collingwood,2935
Kensington-Cedar Cottage,2791
Hastings-Sunrise,2665
five-points,2158
Riley Park,1742
Sunset,1696
Marpole,1438
montbello,1428
Victoria-Fraserview,1251
stapleton,1243
Killarney,1187
capitol-hill,1143
gateway-green-valley-ranch,1101
hampden,1028
Dunbar-Southlands,970
hampden-south,884
Kerrisdale,866
South Cambie,853
highland,773
West Point Grey,751
Shaughnessy,726
Oakridge,723
union-station,723
speer,715
westwood,714
northeast-park-hill,656
Arbutus Ridge,649
cbd,630
baker,604
west-colfax,603
virginia-village,588
washington-virginia-vale,581
north-capitol-hill,574
lincoln-park,568
Stanley Park,552
harvey-park,542
east-colfax,535
west-highland,529
dia,520
windsor,518
athmar-park,515
congress-park,514
ruby-hill,485
sunnyside,473
sloan-lake,473
university-park,471
college-view-south-platte,469
mar-lee,466
marston,459
washington-park-west,458
bear-valley,453
university,450
berkeley,450
harvey-park-south,436
elyria-swansea,428
cheesman-park,423
lowry-field,410
fort-logan,399
university-hills,399
cherry-creek,387
platt-park,385
villa-park,382
hale,379
southmoor-park,377
washington-park,375
south-park-hill,346
globeville,346
goldsmith,344
overland,342
,341
hilltop,340
city-park-west,336
kennedy,332
north-park-hill,322
jefferson-park,307
barnum,295
valverde,284
barnum-west,266
civic-center,264
montclair,260
belcaro,250
cory-merrill,240
clayton,229
regis,212
cole,209
whittier,198
city-park,197
rosedale,177
chaffee-park,171
auraria,158
country-club,147
sun-valley,138
skyland,134
wellshire,107
indian-creek,107
Musqueam,38
